Snapshot, Tunnel cluster, Tunnel, Throughput, Cost, Bottleneck radius, Bottleneck R error bound, Length, Curvature
protein.pdb0, 1, 1, 0.9292533681030932, 0.07337384527209942, 2.98848795867941, -, 4.949647400233884, 1.0918061970007065
protein.pdb0, 2, 2, 0.8754154677770569, 0.13305668499938192, 2.884696161026451, -, 12.262476674897158, 1.0995448405946784
