Tunnel cluster, Average throughput, Standard deviation, Out of histogram range, Histogram, 0.0_0.1, 0.1_0.2, 0.2_0.3, 0.3_0.4, 0.4_0.5, 0.5_0.6, 0.6_0.7, 0.7_0.8, 0.8_0.9, 0.9_1.0
1, 0.9292533681030932, 0.0, 0, , 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
2, 0.8754154677770569, 0.0, 0, , 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
